Name of Licensee (English),Name of Licensee (Chinese),Branch Name (English),Branch Name (Chinese),Address (English only),Address Type (English),Address Type (Chinese),As at (Date)
CZARINA REMITTANCE COMPANY LIMITED,,CZARINA REMITTANCE COMPANY LIMITED,,,Specified Premises,指明處所,29/11/2023
DAHSHING INDUSTRIES (INTERNATIONAL) LIMITED,大成實業(國際)有限公司,,,,Specified Premises,指明處所,29/11/2023
DAHSHING INDUSTRIES (INTERNATIONAL) LIMITED,大成實業(國際)有限公司,,匯銀通,,Specified Premises,指明處所,29/11/2023
DAHSHING INDUSTRIES (INTERNATIONAL) LIMITED,大成實業(國際)有限公司,HING SHING MONEY EXCHANGE,興成兌換,,Specified Premises,指明處所,29/11/2023
DAI TONG EXCHANGE LIMITED TRADING AS DAI FUNG REMIT EXCHANGE,大通匯款找換有限公司 營業名稱 大豐匯款找換,DAI FUNG REMIT EXCHANGE,大豐匯款找換,,Specified Premises,指明處所,29/11/2023
DAMRICH EXCHANGE LIMITED,,,,,Specified Premises,指明處所,29/11/2023
DARUMA LIMITED TRADING AS DONKIFX,達摩有限公司 營業名稱 激安の両替,DONKIFX,激安の両替,,Specified Premises,指明處所,29/11/2023
DELTA ASIA CAPITAL LIMITED,滙業財富有限公司,,,,Specified Premises,指明處所,29/11/2023
DESTINATION CURRENCY CONVERSION (HK) LIMITED,目的地貨幣兌換(香港)有限公司,,,,Specified Premises,指明處所,29/11/2023
DIGITAL FOREX LIMITED,,DIGITAL FOREX LIMITED,,,Specified Premises,指明處所,29/11/2023
DIGITAL PAY SOLUTIONS LIMITED,數碼支付有限公司,,,,Correspondence Address,通訊地址,29/11/2023
DNBC FINANCIAL HONG KONG LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
DOLLARSMART GLOBAL PTE. LTD. TRADING AS HKDSMART,,,,,Correspondence Address,通訊地址,29/11/2023
DOO HOLDING GROUP LIMITED,中國都會控股集團有限公司,,,,Correspondence Address,通訊地址,29/11/2023
E-ECONOMY INTERNATIONAL LIMITED,滙創集團控股有限公司 營業名稱 益企盈,,,,Correspondence Address,通訊地址,29/11/2023
E88 LIMITED TRADING AS E88 MONEY EXCHANGE,E88 找換店,E88 MONEY EXCHANGE,E88 找換店,,Specified Premises,指明處所,29/11/2023
EARTHREMIT LIMITED TRADING AS EARTHREMIT,環球盛匯有限公司 營業名稱 環球盛匯,EARTHREMIT,環球盛匯,,Specified Premises,指明處所,29/11/2023
EARTHREMIT LIMITED TRADING AS EARTHREMIT,環球盛匯有限公司 營業名稱 環球盛匯,HONESTY MONEY EXCHANGE COMPANY,誠譽外匯兌換公司,,Specified Premises,指明處所,29/11/2023
EARTHREMIT LIMITED TRADING AS EARTHREMIT,環球盛匯有限公司 營業名稱 環球盛匯,HONESTY MONEY EXCHANGE GROUP,誠譽外匯兌換集團,,Specified Premises,指明處所,29/11/2023
EARTHREMIT LIMITED TRADING AS EARTHREMIT,環球盛匯有限公司 營業名稱 環球盛匯,SHANG RISE FOREIGN CURRENCY EXCHANGE,尚昇外幣兌換店,,Specified Premises,指明處所,29/11/2023
EARTHREMIT LIMITED TRADING AS EARTHREMIT,環球盛匯有限公司 營業名稱 環球盛匯,EARTHREMIT,環球盛匯,,Specified Premises,指明處所,29/11/2023
EASTERN UNION INTERNATIONAL LIMITED,東聯國際股份有限公司,,,,Correspondence Address,通訊地址,29/11/2023
EASTERN WIRES (HK) LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
EASY BUSINESS SERVICES LIMITED,易通商業服務有限公司,,,,Correspondence Address,通訊地址,29/11/2023
"EASY PAY INTERNATIONAL INVESTMENT CO., LIMITED",易貝國際投資有限公司,,,,Correspondence Address,通訊地址,29/11/2023
EASY TRANSFER SERVICE INTERNATIONAL LIMITED,易匯服務國際有限公司,,,,Correspondence Address,通訊地址,29/11/2023
EASYEURO FINANCIAL SERVICES LIMITED,易歐金融服務有限公司,,,,Correspondence Address,通訊地址,29/11/2023
"EASYLINK PAYMENT NETWORK (HONGKONG) COMPANY, LIMITED",好易聯支付網絡(香港)有限公司,,,,Correspondence Address,通訊地址,29/11/2023
EASYPASSCORP LIMITED TRADING AS CHINA & HK RENMINBI EXCHANGE,匯通企業有限公司 營業名稱 匯通中港人民幣找換行,CHINA & HK RENMINBI EXCHANGE,匯通中港人民幣找換行,,Specified Premises,指明處所,29/11/2023
EASYPASSCORP LIMITED TRADING AS CHINA & HK RENMINBI EXCHANGE,匯通企業有限公司 營業名稱 匯通中港人民幣找換行,CHINA & HK RENMINBI EXCHANGE,滙通中港人民幣找換行,,Specified Premises,指明處所,29/11/2023
EASYPASSCORP LIMITED TRADING AS CHINA & HK RENMINBI EXCHANGE,匯通企業有限公司 營業名稱 匯通中港人民幣找換行,CHINA & HK RENMINBI EXCHANGE,滙通中港人民幣找換行,,Specified Premises,指明處所,29/11/2023
EBANG FINANCIAL SERVICES LIMITED,億邦金融服務有限公司 營業名稱 億邦支付,,,,Correspondence Address,通訊地址,29/11/2023
